EncodingTable,RecognitionTable,experiment_information_key.keys,experiment_information_key.rt,comprehension_key.keys,comprehension_key.corr,comprehension_key.rt,info_repeat_key.keys,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_1.ran,QuestionNr,QuestionGroup,Question,Answer,CorrectResponse,CorrectAnswer,IncorrectAnswer,InfoRepeated,Azonosító kód*,Jelszó*,A vizsgálat feltételeibe beleegyezem. (igen/nem)*,Az adatkezelési feltételeket elfogadom. (igen/nem)*,date,expName,psychopyVersion,OS,frameRate,lab_key.keys,lab_key.rt,general_instructions_key.keys,general_instructions_key.rt,loc_instructions_1_key.keys,loc_instructions_1_key.rt,loc_instructions_2_key.keys,loc_instructions_2_key.rt,loc_instructions_2_key_2.keys,loc_instructions_2_key_2.rt,loc_instructions_recognition_3_key.keys,loc_instructions_recognition_3_key.rt,faq_key.keys,faq_key.rt,loc_instructions_practice_key.keys,loc_instructions_practice_key.rt,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,comprehension_questions_2.ran,enc_fx_key.keys,enc_trial_key.keys,loc_enc_practice.thisRepN,loc_enc_practice.thisTrialN,loc_enc_practice.thisN,loc_enc_practice.thisIndex,loc_enc_practice.ran,TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_trial_key.rt,enc_fx_key.rt,filler_task_resp.keys,filler_task_resp.corr,filler_task_resp.rt,rec_fx_key.keys,rec_trial_key.keys,rec_trial_key.rt,loc_rec_practice.thisRepN,loc_rec_practice.thisTrialN,loc_rec_practice.thisN,loc_rec_practice.thisIndex,loc_rec_practice.ran,LOC_PRACTICE.thisRepN,LOC_PRACTICE.thisTrialN,LOC_PRACTICE.thisN,LOC_PRACTICE.thisIndex,LOC_PRACTICE.ran,end_practice_key.keys,end_practice_key.rt,obj_instructions_1_key.keys,obj_instructions_1_key.rt,obj_instructions_2_key.keys,obj_instructions_2_key.rt,obj_instructions_recognition_3_key.keys,obj_instructions_recognition_3_key.rt,faq_key_2.keys,faq_key_2.rt,info_repeat_key.rt,comprehension_questions_3.thisRepN,comprehension_questions_3.thisTrialN,comprehension_questions_3.thisN,comprehension_questions_3.thisIndex,comprehension_questions_3.ran,obj_instructions_practice_key.keys,obj_instructions_practice_key.rt,obj_enc_practice.thisRepN,obj_enc_practice.thisTrialN,obj_enc_practice.thisN,obj_enc_practice.thisIndex,obj_enc_practice.ran,obj_rec_practice.thisRepN,obj_rec_practice.thisTrialN,obj_rec_practice.thisN,obj_rec_practice.thisIndex,obj_rec_practice.ran,OBJ_PRACTICE.thisRepN,OBJ_PRACTICE.thisTrialN,OBJ_PRACTICE.thisN,OBJ_PRACTICE.thisIndex,OBJ_PRACTICE.ran,demo_key.keys,demo_key.rt,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,demo_trials.ran,Task,DemoX,DemoY,InPractice,DemoText,demo_end_key.keys,demo_end_key.rt,enc_full_practice.thisRepN,enc_full_practice.thisTrialN,enc_full_practice.thisN,enc_full_practice.thisIndex,enc_full_practice.ran,rec_full_practice.thisRepN,rec_full_practice.thisTrialN,rec_full_practice.thisN,rec_full_practice.thisIndex,rec_full_practice.ran,full_practce.thisRepN,full_practce.thisTrialN,full_practce.thisN,full_practce.thisIndex,full_practce.ran,start_task_key.keys,start_task_key.rt,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,enc_trials.ran,rec_trials.thisRepN,rec_trials.thisTrialN,rec_trials.thisN,rec_trials.thisIndex,rec_trials.ran,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,rec_fx_key.rt,comprehension_questions_4.thisRepN,comprehension_questions_4.thisTrialN,comprehension_questions_4.thisN,comprehension_questions_4.thisIndex,comprehension_questions_4.ran,enc_run_end_key.keys,enc_run_end_key.rt,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,run.ran,inter_task_break_key.keys,inter_task_break_key.rt,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,comprehension_questions_5.thisRepN,comprehension_questions_5.thisTrialN,comprehension_questions_5.thisN,comprehension_questions_5.thisIndex,comprehension_questions_5.ran,end_experiment_key.keys,end_experiment_key.rt
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1000,,1,OBJ,LURE,,,stimuli/fractals/25c.jpg,0.353442511,0.224679053,stimuli/fractals/25b.jpg,stimuli/fractals/25a.jpg,stimuli/fractals/25c.jpg,0.353442511,0.224679053,0.209308975,-0.136557894,0.06804836,-0.178303824,-0.300655335,-0.099210152,,,,,,,f,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,1,9,OLP,stimuli/fractals/25b.jpg,0.353442511,0.224679053,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,500,,1,OBJ,TARGET,,,stimuli/fractals/16a.jpg,-0.00658191,-0.294085564,stimuli/fractals/16a.jpg,stimuli/fractals/16c.jpg,stimuli/fractals/16b.jpg,-0.00658191,-0.294085564,0.312574414,-0.264858864,-0.099410928,-0.021020338,-0.314778581,0.299170138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,16,1,11,OLP,stimuli/fractals/16a.jpg,-0.00658191,-0.294085564,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3000,,1,OBJ,LURE,,,stimuli/fractals/107b.jpg,-0.138257205,0.117933499,stimuli/fractals/107a.jpg,stimuli/fractals/107c.jpg,stimuli/fractals/107b.jpg,-0.138257205,0.117933499,-0.119469879,-0.356685768,-0.043873562,-0.350787715,0.37361561,-0.202684869,,,,,,j,j,2.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,17,1,28,ERP,stimuli/fractals/107a.jpg,-0.138257205,0.117933499,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2000,,1,OBJ,LURE,,,stimuli/fractals/138a.jpg,-0.1136695,-0.230326717,stimuli/fractals/138c.jpg,stimuli/fractals/138b.jpg,stimuli/fractals/138a.jpg,-0.1136695,-0.230326717,0.055069074,0.208958804,0.04921641,0.149451741,0.366892701,-0.408188092,,,,,,,j,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,18,1,15,OLP,stimuli/fractals/138c.jpg,-0.1136695,-0.230326717,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1000,,1,OBJ,FOIL,,,stimuli/fractals/105b.jpg,0.256058996,0.1168323,,,,,,,,,,,,,,,,,,j,2.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,1,0,FOIL,nan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3000,,1,OBJ,TARGET,,,stimuli/fractals/38b.jpg,0.043038121,-0.25540487,stimuli/fractals/38b.jpg,stimuli/fractals/38c.jpg,stimuli/fractals/38a.jpg,0.043038121,-0.25540487,-0.206161277,-0.411982103,0.341819313,0.038097482,0.384974682,0.387400024,,,,,,,j,2.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,20,1,20,OLP,stimuli/fractals/38b.jpg,0.043038121,-0.25540487,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1000,,1,OBJ,LURE,,,stimuli/fractals/23b.jpg,0.349555279,0.348252114,stimuli/fractals/23c.jpg,stimuli/fractals/23a.jpg,stimuli/fractals/23b.jpg,0.349555279,0.348252114,0.350322663,-0.017194328,0.025286989,0.062227907,-0.332147647,0.334901348,,,,,,,f,1.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,21,1,31,ERP,stimuli/fractals/23c.jpg,0.349555279,0.348252114,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1000,,1,OBJ,FOIL,,,stimuli/fractals/12a.jpg,-0.333590858,-0.183067016,,,,,,,,,,,,,,,,,,j,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,22,1,0,FOIL,nan,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1000,,1,OBJ,TARGET,,,stimuli/fractals/161a.jpg,-0.195067951,0.141350895,stimuli/fractals/161a.jpg,stimuli/fractals/161c.jpg,stimuli/fractals/161b.jpg,-0.195067951,0.141350895,-0.065858484,-0.341070046,-0.004372929,0.394441833,0.360133657,0.126415381,,,,,,,f,3.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,23,1,42,ERP,stimuli/fractals/161a.jpg,-0.195067951,0.141350895,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,d,0,22.902,,,,,,,6,4,"Mit gondol, ebben a körben milyen arányban tudott figyelni a képekre a Galériaberendezés feladatban? Kérjük, válaszoljon őszintén. Válasza a vizsgálat bejefezésével járó jutalom (kredit, ajándékutalvány) értékét nem befolyásolja.",D: 0-24%    F: 25-49%    J: 50-74%    K: 75-100%,k,Köszönjük!,"Kérjük, próbáljon meg a továbbiakban jobban figyelni a képekre. ","Kérjük, próbáljon meg a továbbiakban figyelni a képekre. ",37739,tudomány,igen,igen,2021-02-21_10h18.37.516,terkepesz_online,2020.2.9,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
